Order Id,Return Date,Product Id,Product Name,Seller Id,Seller Name
bebccdc1-cf2e-45f9-b5bf-0835c4b0f631,2025-05-22,P00035,Break Job,S0066,Russell-Guerrero
c16e5d50-b4c8-4dc4-8c7e-6c42e21f36d1,2025-04-23,P00077,Everything Response,S0116,Hodges Group
bd5cc5a7-6bda-453e-ba87-24581f881909,2025-05-28,P00371,Idea Ball,S0200,Banks-Preston
b526ce47-3904-4994-a089-b441bc328cf1,2025-05-21,P00016,Resource Education,S0154,Watson-Wheeler
746a0aa1-4abe-4bd1-a25e-1921c92d6743,2025-04-19,P00148,First Keep,S0139,Brown-Stewart
8b3d7f05-8501-4da1-b2e1-cece98dedeed,2025-05-02,P00204,Pass Purpose,S0110,"Martin, Fox and Strickland"
183cf272-861a-4120-9d45-aa22337927cf,2025-04-21,P00481,Enjoy Outside,S0085,"Jackson, Sanchez and Berry"
e97168b1-a5f1-4801-98c1-c7ec5ec0e956,2025-05-19,P00025,Poor Both,S0035,King-Schroeder
d2ac7c7a-3391-45fe-94ff-61fcf1ffcb8f,2025-04-25,P00246,Machine Result,S0182,Sanchez-Douglas
9deacdbf-467b-42ea-9634-afcaaf618264,2025-05-19,P00269,Suffer Protect,S0193,Garcia-Brown
536d8c80-0a3b-43f0-81bf-786dd8e4cf67,2025-05-06,P00430,Account Only,S0118,Hooper Inc
a97c9d9d-ca45-482f-8c89-1a25fa4b77d2,2025-05-21,P00419,Skin Speak,S0132,"Norman, Crosby and Vargas"
8586f9fe-56f0-4df2-94c3-03454d24ac3f,2025-06-11,P00339,Relate Society,S0134,Caldwell-Kelly
5c554c1d-5215-43cd-a58c-318b6933e284,2025-05-30,P00384,Machine Old,S0171,Santos-Davis
d3eaa269-4c0f-45d1-88ca-b06501a61393,2025-05-25,P00086,Not Brother,S0130,Powell-Ray
6ff54383-60f1-41ed-b831-3f03eabf923e,2025-04-13,P00015,Could Home,S0162,Andrews-Rivers
023f2f71-7804-4ef9-a2f5-9ee37a404df0,2025-04-28,P00266,Crime Model,S0037,"King, Wagner and Briggs"
28bce8e9-1d8d-4e14-9bd7-c884793e6548,2025-04-29,P00204,Pass Purpose,S0191,"Hart, Diaz and King"
3c017a30-e486-49be-860a-316c948db250,2025-05-05,P00076,Trip Name,S0117,Sanchez and Sons
96c5b2de-99e1-4e73-958f-22bcf3186a30,2025-05-15,P00224,Again Ready,S0135,"Hernandez, Ward and Padilla"
e627213d-2c7e-4693-95cd-ecb35c672fc5,2025-04-18,P00024,Likely Film,S0046,"Jones, Smith and Shaw"
